warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude
55,261,261.002,240,280,6,27,1866,7,3,1866,1866,3,2,3,1,3,500,100,,,600,1,52.3744779,9.7385532,53.6288297,11.4148038
55,261,261.002,280,240,6,27,1866,7,3,1866,1866,2,3,1,3,1,100,500,,,600,1,53.6288297,11.4148038,52.3744779,9.7385532
55,261,261.003,240,325,6,24,1866,7,20,1866,1866,3,2,3,1,3,500,4000,,,4500,1,52.3744779,9.7385532,42.6384261,12.674297
55,261,261.003,325,240,6,24,1866,7,20,1866,1866,2,3,1,3,1,4000,500,,,4500,1,42.6384261,12.674297,52.3744779,9.7385532
55,261,261.004,245,255,6,27,1866,7,3,1866,1866,3,1,3,1,3,500,10100,,,10600,1,48.9467562,11.4038717,51.0834196,10.4234469
55,261,261.004,255,245,6,27,1866,7,3,1866,1866,1,3,1,3,1,10100,500,,,10600,1,51.0834196,10.4234469,48.9467562,11.4038717
55,261,261.005,245,280,6,27,1866,7,3,1866,1866,3,2,3,1,3,500,100,,,600,1,48.9467562,11.4038717,53.6288297,11.4148038
55,261,261.005,280,245,6,27,1866,7,3,1866,1866,2,3,1,3,1,100,500,,,600,1,53.6288297,11.4148038,48.9467562,11.4038717
55,261,261.006,245,325,6,24,1866,7,20,1866,1866,3,2,3,1,3,500,4000,,,4500,1,48.9467562,11.4038717,42.6384261,12.674297
55,261,261.006,325,245,6,24,1866,7,20,1866,1866,2,3,1,3,1,4000,500,,,4500,1,42.6384261,12.674297,48.9467562,11.4038717
55,261,261.007,255,267,6,27,1866,7,3,1866,1866,1,3,1,3,1,10100,100,,,10200,1,51.0834196,10.4234469,47.4736827,8.3086822
55,261,261.007,267,255,6,27,1866,7,3,1866,1866,3,1,3,1,3,100,10100,,,10200,1,47.4736827,8.3086822,51.0834196,10.4234469
55,261,261.008,255,269,6,27,1866,7,3,1866,1866,1,3,1,3,1,10100,600,,,10700,1,51.0834196,10.4234469,50.9295798,13.4585052
55,261,261.008,269,255,6,27,1866,7,3,1866,1866,3,1,3,1,3,600,10100,,,10700,1,50.9295798,13.4585052,51.0834196,10.4234469
55,261,261.009,255,271,6,27,1866,7,3,1866,1866,1,3,1,3,1,10100,100,,,10200,1,51.0834196,10.4234469,-33.0451723,-71.6241522
55,261,261.009,271,255,6,27,1866,7,3,1866,1866,3,1,3,1,3,100,10100,,,10200,1,-33.0451723,-71.6241522,51.0834196,10.4234469
55,261,261.01,255,273,6,27,1866,7,3,1866,1866,1,3,1,3,1,10100,100,,,10200,1,51.0834196,10.4234469,51.312801,9.481544
55,261,261.01,273,255,6,27,1866,7,3,1866,1866,3,1,3,1,3,100,10100,,,10200,1,51.312801,9.481544,51.0834196,10.4234469
55,261,261.011,255,275,6,27,1866,7,3,1866,1866,1,3,1,3,1,10100,100,,,10200,1,51.0834196,10.4234469,51.312801,9.481544
55,261,261.011,275,255,6,27,1866,7,3,1866,1866,3,1,3,1,3,100,10100,,,10200,1,51.312801,9.481544,51.0834196,10.4234469
55,261,261.012,255,300,6,27,1866,7,3,1866,1866,1,3,1,3,1,10100,28000,,,38100,1,51.0834196,10.4234469,46.35038755,19.13865633
55,261,261.012,300,255,6,27,1866,7,3,1866,1866,3,1,1,3,3,28000,10100,,,38100,1,46.35038755,19.13865633,51.0834196,10.4234469
55,261,261.013,267,280,6,27,1866,7,3,1866,1866,3,2,3,1,3,100,100,,,200,1,47.4736827,8.3086822,53.6288297,11.4148038
55,261,261.013,280,267,6,27,1866,7,3,1866,1866,2,3,1,3,1,100,100,,,200,1,53.6288297,11.4148038,47.4736827,8.3086822
55,261,261.014,267,325,6,24,1866,7,20,1866,1866,3,2,3,1,3,100,4000,,,4100,1,47.4736827,8.3086822,42.6384261,12.674297
55,261,261.014,325,267,6,24,1866,7,20,1866,1866,2,3,1,3,1,4000,100,,,4100,1,42.6384261,12.674297,47.4736827,8.3086822
55,261,261.015,269,280,6,27,1866,7,3,1866,1866,3,2,3,1,3,600,100,,,700,1,50.9295798,13.4585052,53.6288297,11.4148038
55,261,261.015,280,269,6,27,1866,7,3,1866,1866,2,3,1,3,1,100,600,,,700,1,53.6288297,11.4148038,50.9295798,13.4585052
55,261,261.016,269,325,6,24,1866,7,20,1866,1866,3,2,3,1,3,600,4000,,,4600,1,50.9295798,13.4585052,42.6384261,12.674297
55,261,261.016,325,269,6,24,1866,7,20,1866,1866,2,3,1,3,1,4000,600,,,4600,1,42.6384261,12.674297,50.9295798,13.4585052
55,261,261.017,271,280,6,27,1866,7,3,1866,1866,3,2,3,1,3,100,100,,,200,1,-33.0451723,-71.6241522,53.6288297,11.4148038
55,261,261.017,280,271,6,27,1866,7,3,1866,1866,2,3,1,3,1,100,100,,,200,1,53.6288297,11.4148038,-33.0451723,-71.6241522
55,261,261.018,271,325,6,24,1866,7,20,1866,1866,3,2,3,1,3,100,4000,,,4100,1,-33.0451723,-71.6241522,42.6384261,12.674297
55,261,261.018,325,271,6,24,1866,7,20,1866,1866,2,3,1,3,1,4000,100,,,4100,1,42.6384261,12.674297,-33.0451723,-71.6241522
55,261,261.019,273,280,6,27,1866,7,3,1866,1866,3,2,3,1,3,100,100,,,200,1,51.312801,9.481544,53.6288297,11.4148038
55,261,261.019,280,273,6,27,1866,7,3,1866,1866,2,3,1,3,1,100,100,,,200,1,53.6288297,11.4148038,51.312801,9.481544
55,261,261.02,273,325,6,24,1866,7,20,1866,1866,3,2,3,1,3,100,4000,,,4100,1,51.312801,9.481544,42.6384261,12.674297
55,261,261.02,325,273,6,24,1866,7,20,1866,1866,2,3,1,3,1,4000,100,,,4100,1,42.6384261,12.674297,51.312801,9.481544
55,261,261.021,275,280,6,27,1866,7,3,1866,1866,3,2,3,1,3,100,100,,,200,1,51.312801,9.481544,53.6288297,11.4148038
55,261,261.021,280,275,6,27,1866,7,3,1866,1866,2,3,1,3,1,100,100,,,200,1,53.6288297,11.4148038,51.312801,9.481544
55,261,261.022,275,325,6,24,1866,7,20,1866,1866,3,2,3,1,3,100,4000,,,4100,1,51.312801,9.481544,42.6384261,12.674297
55,261,261.022,325,275,6,24,1866,7,20,1866,1866,2,3,1,3,1,4000,100,,,4100,1,42.6384261,12.674297,51.312801,9.481544
